Name,Former names,Established,President,Academic staff,Administrative staff,Students,Address,Campus,Colours,Affiliations,Website,ASN,Motto,Motto in English,Religious affiliation,Academic affiliations,Endowment,Chancellor,Colors,Type,Chairperson,Location,Nickname,Mascot,"Chair, Board of Governors",Former name,Campuses,Affiliation,Sporting affiliations,Director
Université du Québec en Abitibi-Témiscamingue,,1970 (legally 1983),,,,"5,200 1",,"Urban/Suburban, five campuses throughout Quebec, with campuses in Quebec City , Montreal , Laval , and Varennes",Black and red,UACC,www.uqat.ca/,,Il faut le savoir (It must be known),,,,,,,,,,,,,,,,,
Université du Québec en Outaouais,,1981,,,175 full-time professors & 565 lecturers.,"6,017",,Université du Québec en Outaouais's Gatineau and Saint-Jérôme campuses,,"ACCC , CCAA , QSSF",Université du Québec en Outaouais (UQO),,"""Être plus près, aller plus loin"" (Being closer, going further)",,non-denominational,,,,,,,,,,,,,,,
Université du Québec à Chicoutimi,,"1959 Université au Saguenay-Lac-Saint-Jean (1959-1967). Subsequently renamed, Université du Québec à Chicoutimi (1969-present)",,,209 professors,,"555, boulevard de l'Université Saguenay , Quebec G7H 2B1  48.42000°N 71.05250°W48.42000; -71.05250",urban,,"AUCC , IAU , AUFC , CIS",www.uqac.ca,,Libre de voir plus loin ( French : free to see further),,,,,,,,,,,,,,,,,
Université du Québec à Montréal,,1969,,"1,143 professors & 2,124 instructors (2020–2021) 3",,39 427 (2020–2021) 4,,Urban,White and blue,,uqam .ca,,Prenez Position,Take a Stand,,"UACC , CARL",,Réal Raymond,,,,,,,,,,,,
Université du Québec à Rimouski,,1969,,210 professors on campus + 325 lecturers,300,~6700,,Urban (Lévis and Rimouski),Ultramarine Blue,,https://www.uqar.ca/,,,,,,,,,,,,,,,,,,,
Université du Québec à Trois-Rivières,,"March 19, 1969",,,"1,781 employees","14,740","3351, boulevard des Forges Trois-Rivières , Quebec , Canada G9A 5H7 46°21′2.04″N 72°34′34.67″W46.3505667°N 72.5762972°W46.3505667; -72.5762972","Trois-Rivières , Victoriaville , Drummondville , Saint-Hyacinthe , Quebec City , Sorel-Tracy , Joliette & Centre Universitaire des Appalaches",Green Orange & White,,https://www.uqtr.ca,,,,,,,,,,,,,,,,,,,
Université TÉLUQ,,1972,,~90 professors,,,"455, rue du Parvis Quebec City , Quebec G1K 9H6 46°48′50.04″N 71°13′22.44″W46.8139000°N 71.2229000°W46.8139000; -71.2229000",Distance learning,,Université du Québec CVU AUCC,https://www.teluq.ca/,,,,,,,,,,,,,,,,,,,
Université Laval,Séminaire de Québec (1663-1852),1852 ; 172 years ago ( 1852 ),,,,"47,690",,Urban/Suburban,Red & gold,,www .ulaval .ca,,Deo favente haud pluribus impar ( Latin ),"By the grace of God, to no one equal",,"ACU , CARL , UArctic , Universities Canada , U15",CAD$ 377 million 1,,,,,,,,,,,,,
University of Regina,Regina College (1911–1961) Regina Campus of the University of Saskatchewan (1961–1974),1974,Jeff Keshen,529 2,"1,283","16,501 (fall 2019) 3",,Urban,Green and gold 4,,www .uregina .ca,,As one who serves,,,"CARL , CUSID , IAU , UArctic , Universities Canada",$128.4 million 1,Pamela Klein,,,,,,,,,,,,
University of Saskatchewan,,1907 ; 117 years ago ( 1907 ),Peter Stoicheff,,,"25,703 23,691 1",,Urban,Green and yellow and white 2,,www .usask .ca,,Deo et Patriæ ( Latin ),For God and Country,,"ACU , CARL , UArctic , UASR , Universities Canada",CAN$ 214 million,Grit McCreath,,,,,,,,,,,,
Yukon University,,1988 ; 36 years ago ( 1988 ) note 1,Lesley A. Brown 3,,220,1285 4,"500 University Drive Whitehorse , Yukon, Canada Y1A 5K4 60°45′1.20″N 135°5′55.49″W60.7503333°N 135.0987472°W60.7503333; -135.0987472",Suburban & rural,Plum and teal,"BCCAT , CCAA , CBIE, CICan , UArctic",www .yukonu .ca,,,,,,CA$ 2.72 million (2019) 1,Jamena James Allen 2,,,,,,,,,,,,
Ambrose University,"Calgary Bible Institute, Alberta School of Evangelism, Northern Bible College, Canadian Nazarene College, Nazarene University College; Canadian Bible Institute, Western Canadian Bible Institute, Canadian Bible College of the Christian and Missionary Alliance, Canadian Theological Seminary, Alliance University College; Nazarene University College-Alliance University College (NUC-AUC); Ambrose University College",1921,Bryce Ashlin-Mayo,,,920 in 2023,,,"Gold, white, black",,ambrose .edu,,,,"Christian and Missionary Alliance , Church of the Nazarene","ATS (Graduate Theological Degrees), CHEC (Undergraduate Theological Degrees), CCCU",,,,,,,,,,,,,,
Booth University College,,1982 ( 1982 ),Donald Burke,16,,282 (2019),,Urban,Blue yellow red,,boothuc .ca,,Education for a better world,,Salvation Army,,,,,,,,,,,,,,,
Burman University,,1907,Loren Agrey,,,479 1,,,Red & white 2,,www .burmanu .ca,,Think. Believe. Act.,,"Seventh-day Adventist , Christian","La Sierra University , Andrews University",,,,,,,,,,,,,,
Canadian Mennonite University,,1999,Cheryl Pauls,,,,,Urban,Green,,cmu .ca,,,,"Mennonite Church Canada , Mennonite Brethren Church of Manitoba",AUCC CHEC MCAC,,,,,,,,,,,,,,
Concordia University of Edmonton,Concordia College (1921–1995); Concordia University College of Alberta (1995–2015),1921,Dr. Tim Loreman,,,"2,333",,Urban Residential,blue and gold,"AUCC , ACAA",http://concordia.ab.ca,,Initium Sapientiae Timor Domini,The fear of the Lord is the beginning of wisdom,,,,Stephen Mandel,,,,,,,,,,,,
Crandall University,,1949,Bruce G. Fawcett,"27 full-time, 3 sessional, 2 adjunct, and 27 part-time citation needed",39 citation needed,"1,400+ 1",,Urban,Blue and Gold,"Convention of Atlantic Baptist Churches Acadia Divinity College CCCU Evangelical Fellowship of Canada , CUSID ,",www .crandallu .ca,,Cristus Praeeminens,Christ First,,,,Donald Simmonds,,,,,,,,,,,,
Kingswood University,,"1945 (Woodstock, New Brunswick) Moved 1947 (Yarmouth, NS) Moved 1965 (Sussex, NB)",Stephen Lennox,26 citation needed,40 citation needed,,,Rural,Black & red,,www .kingswood .edu,,Equipping Servant Leaders for Global Impact,,Wesleyan Church Christian Holiness Partnership Evangelical Fellowship of Canada,Association for Biblical Higher Education Association of Christian Schools International Christian Higher Education Canada,,,,,,,,,,,,,,
Pacific Coast University for Workplace Health Sciences (page does not exist),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence University College and Theological Seminary,,1925,Kenton C. Anderson 1,,,,,100 acres (40 ha),,"Association of Theological Schools in the United States and Canada , CCCU",prov.ca,,Knowledge and Character for Leadership and Service,,Evangelical Christian,,,,,,,,,,,,,,,
Redeemer University,,1982,David Zietsma,44 full time + 49 part time,,,,Suburban 90-acre (36 ha) campus,Blue & red,,www .redeemer .ca,,"Agnus Dei, Omnium Rex",,Christian,"AUCC , CCCU , IAPCHE , ARIHE , CHEC",CA$6.201 million (2023) 1,,,,,,,,,,,,,
"St. Mary's University, Calgary",,"September 18, 1986",Dr. Sinda Vanderpool,,,1025 1,,"Urban, Enclosed Hilltop",,,www.stmu.ca,,Latin : In Lumine Tuo Videbimus Lumen,In Your Light We Shall See Light,Roman Catholic,,,Most Reverend William T. McGrattan,,,,,,,,,,,,
St. Stephen's University,,1975,,6 core faculty; 18 affiliate faculty,,133 1,"8 Main Street , St. Stephen , New Brunswick , Canada  45.1930°N 67.2820°W45.1930; -67.2820",,green and gray,,www .ssu .ca,,Anchored with wings,,Non-denominational Christianity,,,,,,,,,,,,,,,
The King's University (Edmonton),,1979,Melanie J. Humphreys,120,,910,,"Urban, 20 acres (8.09 ha)","Blue, Gold",,http://www.kingsu.ca/,,"""Teaching Each Other in All Wisdom""",,,,"CA$1,863,967 1",,,,,,,,,,,,,
Trinity Western University,,"1962 ; 62 years ago ( 1962 ) Trinity Junior College (1962–1972), Trinity Western College (1972–1985), Trinity Western University (1986–present)",Mark Husbands,,,"5,000 citation needed",,Suburban/Rural 157 acres (64 ha)<,Gold & blue,,www .twu .ca,,Latin : Turris Fortis Deus Noster,A Mighty Fortress Is Our God,Evangelical Christian - Evangelical Free Church of Canada,"AUCC , ATS , CUP , CHEC, CCCU , RSC , BCEQA. 1",CAD $ 22.4 million (2019) 2 3,,,,,,,,,,,,,
Tyndale University,,1894,Marjory Kerr 2,,,1361,,Suburban,blue and gold,"CBIE, ATS , CHEC, CCCU , ABHE",tyndale.ca,,Douloi Cristou,Servants of Christ,Evangelical Christian,,,Harriet Thornhill 1,,,,,,,,,,,,
University Canada West,,2005,Dr. Bashir Makhoul 2,412 3,,"14,485 3",,Urban,,,www .ucanwest .ca,,,,,,,Mitchell Gropper 1,Red and white,,,,,,,,,,,
University of Fredericton,,2005,Don Roy,,,,,Online,white and red,,www .ufred .ca,,Accessible. Affordable. Accredited.,,,,,,,,,,,,,,,,,
University of Niagara Falls Canada,,2024,,,,,,Urban,"Navy blue, royal blue, white",,unfc .ca,,,,,,,,,,,,,,,,,,,
Yorkville University,,2003,,,,,,,,,www .yorkvilleu .ca,,,,,,,,,,,,,,,,,,,
ABM College of Health and Technology,,2011,Dr. Mohammed Baten,,80,,"112 - 28 Street SE, #200 , Calgary , Alberta , Canada  51.05218°N 113.99288°W51.05218; -113.99288",,"Red , white",,https://www.abmcollege.com/,,,,,,,,,Private,,,,,,,,,,
Ambrose University College,"Calgary Bible Institute, Alberta School of Evangelism, Northern Bible College, Canadian Nazarene College, Nazarene University College; Canadian Bible Institute, Western Canadian Bible Institute, Canadian Bible College of the Christian and Missionary Alliance, Canadian Theological Seminary, Alliance University College; Nazarene University College-Alliance University College (NUC-AUC); Ambrose University College",1921,Bryce Ashlin-Mayo,,,920 in 2023,,,"Gold, white, black",,ambrose .edu,,,,"Christian and Missionary Alliance , Church of the Nazarene","ATS (Graduate Theological Degrees), CHEC (Undergraduate Theological Degrees), CCCU",,,,Private,Debi Mills,"Calgary , Alberta , Canada 51°02′03″N 114°11′36″W / 51.0342°N 114.1933°W / 51.0342; -114.1933",Lions,Lion,,,,,,
Bay River College,,2014,Arshad Mahmood,,30,,,,"Blue , Light Blue",,https://bayrivercolleges.ca,,,,,,,,,Private,,"Calgary , Alberta , Canada 51°05′08″N 113°59′49″W / 51.085545°N 113.997081°W / 51.085545; -113.997081 a",,,,,,,,
Bow Valley College,,1965,Dr. Misheck Mwaba 1,,500,"17,000",,Urban,Blue,"ACCC , Alberta Association of Colleges & Technical Institutes , CBIE",bowvalleycollege .ca,,,,,,,,,Public College (Canada),,"345 6th Avenue SE Calgary , Alberta , Canada",,,Shannon Bowen-Smed,,,,,
Grande Prairie Regional College,,1966,Dr. Vanessa Sheane,,,"2,892 (2022-23)",,Urban,"Dark blue , light blue, pink and yellow 1","Universities Canada , Canadian Collegiate Athletic Association , U Sports , University of the Arctic , Association of Commonwealth Universities , Alberta Colleges Athletics Conference , Alberta Association of Colleges & Technical Institutes ,",www .nwpolytech .ca,,,,,,,,,Polytechnic,,"Grande Prairie , Alberta , Canada 55°10′31.77″N 118°49′6.25″W / 55.1754917°N 118.8184028°W / 55.1754917; -118.8184028",Wolves,,,"Grande Prairie Junior College, Grande Prairie Regional College",,,,
Keyano College,,1965,Jatinder (Jay) Notay 1,260 2,,1450 FLEs 2,"8115 Franklin Avenue , Fort McMurray, Alberta , Canada  56.7145°N 111.3477°W56.7145; -111.3477",Urban/suburban,Blue & white,,www .keyano .ca /en /index .aspx,,"Yours, Mine, Ours",,,AACTI ACCC CCAA ACAC,,,,Public,,,Huskies,King,,,Anzac Fort Chipewyan Fort McMurray Fort McKay,,,
The King's University College,,1979,Melanie J. Humphreys,120,,910,,"Urban, 20 acres (8.09 ha)","Blue, Gold",,http://www.kingsu.ca/,,"""Teaching Each Other in All Wisdom""",,,,"CA$1,863,967 1",,,liberal arts college,,"Edmonton , Alberta , Canada",,Eagle,,,,Christian Reformed Church in North America,,
Lakeland College,Vermilion School of Agriculture Vermilion Agricultural and Vocational College Vermilion College,"November 17, 1913 ( 1913-11-17 )",Alice Wainwright-Stewart,,,"c. 7,000 full & part-time 1","2602 59 Avenue , Lloydminster, Alberta , Canada  53.3502°N 110.8648°W53.3502; -110.8648","Urban/suburban/remote, multiple campuses Lloydminster and Vermilion",,,www .lakelandcollege .ca,,Ever to Excel,,,"ACCC , AACTI , CBIE",,,,Public college,,,Rustlers,Rowdy,,,,,"CCAA , CCAA",
Lethbridge College,,1957,Dr. Brad Donaldson,,,"5,154",,"Urban / suburban Lethbridge , Fort Macleod and Taber .",,"ACCC , CCAA , CCAA , AACTI , CBIE",www .lethbridgecollege .ca,,,,,,,,,Public degree granting community college,,"Lethbridge , Alberta , Canada",Kodiaks,Kodi the Kodiak,,,,,,
MaKami College,,2001,,,,2000+,,,,,makamicollege .com,,Hands on training and experience,,,,,,,Independent Academic Institution,,"Edmonton & Calgary , Alberta , Canada 53°32′23″N 113°25′24″W / 53.5397°N 113.4232°W / 53.5397; -113.4232 (Edmonton location)",,MaKami Max,,MaKami College of Massage and Holistic Arts,,,,Marija Pavkovic-Tovissi
Medicine Hat College,,1965,Kevin Shufflebotham,,,"2,500 full-time",,Urban Medicine Hat Brooks,gold ; black ; red,"ACCC , CCAA , CCAA , AACTI , CBIE",www .mhc .ab .ca,,"Scienta Mentem Sustinet (Latin: ""Knowledge Sustains the Mind"")",,,,,,,Public degree-granting community college,,"Medicine Hat , Alberta , Canada",Rattlers,Rattlesnake,,,,,,
NorQuest College,Alberta Vocational College,1965,Carolyn Campbell,,,"20,311 12,435 full-time and part-time credit, non-credit or continuing education students","10215 108 Street NW Edmonton , Alberta, Canada T5J 1L6  53.54334°N 113.50650°W53.54334; -113.50650","Urban / suburban /remote ( downtown , Westmount ), Drayton Valley , Wetaskiwin , Whitecourt",,"ACCC , CCAA , AACTI , CBIE",NorQuest College,,,,,,,,,Community college,,,,,,,,,,
Northern Alberta Institute of Technology,,1962 ; 62 years ago ( 1962 ),Laura Jo Gunter 3,"2,093 (2023) 5",,,,Urban (Main campus),Athletics: Gold and Royal Blue Institute: Royal Blue and Light Blue,,www .nait .ca /nait /home,,"Discere, Efficere, Praestare ( Latin )",,,"ACCC , AACTI , CBIE, CUP , Polytechnics Canada",$52.6 million (2023) 2,,,Public Institute of Technology,,"Edmonton , Alberta , Canada 53°34′10.50″N 113°30′11.63″W / 53.5695833°N 113.5032306°W / 53.5695833; -113.5032306",Ooks,"Snowy Owl , Ookpik",,,,,"CCAA , Alberta Colleges Athletics Conference",
Olds College,,1913,Ben Cecil,108 1,436 1,2588 2,,,,,www .oldscollege .ca,,"""Transforming agriculture for a better world""",,,"UACC , ACCC , AACTI",,,,Public college,,"Olds, Alberta , Canada 51°47′24″N 114°05′42″W / 51.790°N 114.095°W / 51.790; -114.095",Broncos,Billy the Bronco,,,,,CCAA,
Prairie College,,1922,Mark Maxwell 2,,,284 (on campus) 3,,"Rural, (130 acres (53 ha))","Light blue, yellow, & orange",,www .prairie .edu,,To know Christ and make Him known,,Christian,"CCCU , ABHE",CDN $2.79 million 1,,,Private,,"Three Hills , Alberta , Canada 51°42′30″N 113°15′59″W / 51.7082°N 113.2663°W / 51.7082; -113.2663",Pilots,,,,,,"ACAC , PAC",
Red Crow Community College,,1986 under the direction of the Blood Tribe Education Committee.,Roy Weasel Fat,,,,,"Urban/suburban Kainai Nation Blood reserve in Stand Off southern Alberta , Canada with a campus in Lethbridge",,,www .redcrowcollege .com,,,,,University of Calgary University of Lethbridge American Indian Higher Education Consortium ACCC AACTI CBIE,,,,Tribal College,,"Stand Off and Lethbridge , Alberta , Canada 49°42′25″N 112°49′26″W / 49.7069°N 112.8238°W / 49.7069; -112.8238 (Lethbridge location)",,,,,,,CCAA,
Red Deer Polytechnic,,1964,Stuart Cullum,,,"7,500",,Urban,"Lime green, black, silver","ACCC , CCAA , AACTI , CBIE, ACAC",rdpolytech .ca,,Latin : Ad Augusta Per Eruditionem,,,,,,,Public polytechnic institute,,"Red Deer , Alberta , Canada",,Rufus the Lion,,,,,,
Reeves College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson College,,1911,,,,5000 (est),"180 Main Street Winnipeg , Manitoba R3C 1A6 , Winnipeg , Canada","Winnipeg , Edmonton and Calgary",,ECG Education Canada Group 1,www .robertsoncollege .com,,,,,,,,,Private college,,,,,,,,,,
Southern Alberta Institute of Technology,,1916,David Ross,"1,269","1,054","14,364",,,"Red & white (athletics) 1 Red, white, blue (institute) 2",,www .sait .ca,,Incipio Et Erudio,,,"AACTI , CBIE, CUP , Polytechnics Canada",,,,Public,,"Calgary, Alberta , Canada",Trojans,,,,,,"CCAA , Alberta Colleges Athletics Conference",
Sundance College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acsenda School of Management,,2015,Neil Mort,,,,,Urban,,,http://www.acsenda.com/,,International Thinking. Individual Focus.,,,,,,,Private,,"Vancouver , British Columbia , Canada 49°17′07″N 123°07′09″W / 49.285197°N 123.119290°W / 49.285197; -123.119290",,,,,,,,
Alexander College,,2006 ( 2006 ),Barbara Moon (Interim),,,"3,000 1 note 1",,,,,alexandercollege .ca,,,,,,,,,,,"Burnaby , British Columbia , V5H 4T6 , Canada 49°13′38″N 122°59′42″W / 49.2273°N 122.9951°W / 49.2273; -122.9951",,,,,,,,
British Columbia Institute of Technology,,1964,Dr. Jeff Zabudsky,970,"2,727","45,684",,Multiple sites,"Navy Blue, Yellow","CICan , CBIE, Polytechnics Canada",bcit.ca,,Quisque dominus summi,,,,,,,Public institute of technology,,"Burnaby , Delta , North Vancouver , Richmond , and Vancouver",,,,,,,,
Cambria College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camosun College,,1971,Lane Trotter,413,514,"4,946 FTE 2022-2023 3",,Urban / Rural Lansdowne and Interurban,"Inspiring Lime, Grey","ACCC , CCAA , CBIE, CUP .",camosun .ca,,,,,,"$73,355,071 1",,,Public (Post-Secondary) college,,"Greater Victoria , British Columbia , Canada",Chargers,Rampage,,,,,,
Canadian College,,2008,James Clark,,,,,,,,canadiancollege .com,,,,,,,,,Private,,"Vancouver , British Columbia , Canada",,,,,,,,
Coast Mountain College,,1968,Laurie Waye,,,428 full-time equivalent (FTE) for 2022-2023 3,,"Urban/suburban/rural Terrace , Hazelton , Prince Rupert ; Smithers",Teal & white,,coastmountaincollege .ca,,,,,"UArctic , ACCC , BCC","$24,476,000 2021-22 1",,,Post-secondary College,,,,,,Northwest Community College (1975-2018) BC Vocational School Terrace (1968-1975),,,,
College of New Caledonia,,1969 ; 55 years ago ( 1969 ),Dennis Johnson 2,,345 in 2012 3,"1,300 FTE 2020-2021 4",,"urban / suburban / rural Prince George , Quesnel , Mackenzie , ""Lakes District"" in Burns Lake , and ""Nechako"" in Fort St. James , Fraser Lake and Vanderhoof .",Red and dark grey 5,"ACCC , CCAA , CBIE.",cnc .bc .ca,,Toujours la Verite ( The Truth Always ),,,,"$44,940,000 1",,,Public Community College,,"British Columbia , Canada",,,,,,,,
College of the Rockies,,"May 8, 1975 ; 49 years ago ( May 8, 1975 )",Paul Vogt 2,,,"1,446 (on an FTE basis) 2020-2021",,urban / suburban / rural,blue & Green,"ACCC , CCAA , AASHE",cotr .bc .ca,,,,,,,,,Public community college,,"Creston , Fernie , Golden , Invermere , Kimberley and Cranbrook , British Columbia , Canada",Avalanche,Avalanche,,,,,,
Columbia College,,1936,,,,2100,,Urban,blue orange white,,www .columbiacollege .ca,,Spring Into Your Future,,,ACCC,,,,Private university transfer college,,"Vancouver , British Columbia , Canada 49°16′18″N 123°5′43″W / 49.27167°N 123.09528°W / 49.27167; -123.09528",,Trevor the Bear,,,,,CCAA,
Cornerstone International Community College of Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Career College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas College,,1970 ; 54 years ago ( 1970 ),Kathy Denton 3,960,,"7,842 FTE 2022–23 5",,Urban (New Westminster) Suburban (Coquitlam),"Black, green, silver",,www .douglascollege .ca,,,,,"ACCC , CBIE, CUP","$72,075,744 1",,,Public college,,"New Westminster and Coquitlam , British Columbia , Canada",Royals,Roary,,,,,"PACWEST , CCAA , NWAACC",
Educacentre College,,1976,Thomas Godin,,,,,,Blue & white,,educacentre .com,,Le collège francophone en Colombie-Britannique,,,,,,,Private,,"Vancouver , Victoria , and Prince George, British Columbia , Canada 49°26′42″N 123°12′39″W / 49.44500°N 123.21083°W / 49.44500; -123.21083",,,,,,,,Yvon Laberge
Eton College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First College,,1950s,,,,,,,,,firstcollege .princeton .edu,,,,,,,,,,,,,,,,,,,
Langara College,,"April 1, 1994",Paula Burns,,,"5,951 FTE 2022-23 3",,Urban,"Orange, black, white",,langara .ca,,Latin : Eruditio Libertas Est,,,"ACCC , CBIE, CUP","C$ 57,369,200 1",,,Public,,"Vancouver, British Columbia , Canada 49°13′30″N 123°6′30″W / 49.22500°N 123.10833°W / 49.22500; -123.10833",Langara Falcons,Falcon,,,,,"PACWEST , CCAA",
North Island College,,1975 1,Lisa Domae,,400 + employees,"1,451 FTE students, 2020/2021 2",,"Comox Valley, Campbell River, Port Alberni, Port Hardy",Blue and Gold,"CICan , BC Colleges",www .nic .bc .ca,,,,,,,,,Public Community College,,"Courtenay , Campbell River , Port Alberni and Port Hardy , British Columbia , Canada",,,,,,,,
Northern Lights College,,1975,Todd Bondaroff,,,592 FTE for 2022–2023 4,,"urban , suburban , remote",Blue & green ;,"ACCC , BCC .",www .nlc .bc .ca,,,,,,"$22,960,967 2",,,Post-secondary community college,,"Dawson Creek , Fort. St, John , Fort Nelson , Chetwynd in British Columbia",,,,1966-1975 BC Vocational School Dawson Creek 1,,,,
Okanagan College,,1963 as B.C. Vocational School; renamed Okanagan College (1965–1995); renamed Okanagan University College (1995–2005); renamed Okanagan College (2005–present),Neil Fassina,,,"4,893 FTE 2022-2023 3",,,White ; black ; red,"CiCAN , CCAA , CCBC , CBIE",okanagan.bc.ca,,,,,,"$68,294,167 1",,,"public, post-secondary institution",,"Kelowna , Vernon , Penticton , and Salmon Arm in British Columbia",Coyotes,,,,,,,
Selkirk College,,1966,Maggie Matear,,,"1,239 FTE 2022-2023 4",,,Gold & maroon,,www .selkirk .ca,,"""Best of all, inquire""",,,,"$34,891,007 1",,,Public community college,,"West Kootenay and Boundary regions in British Columbia : Castlegar , Nelson (4 campuses), Trail , Nakusp , Grand Forks , and Kaslo",,,,,,,,
Sprott Shaw College,,1903,Victor Tesan,,,"3,500 ( annually )",,,,,sprottshaw .com,,Learning with Purpose Since 1903,,,,,,,"Private career college , community college",,"British Columbia , Canada",Sprott Shaw,,,,,,,
Vancouver Community College,,1965 ; 59 years ago ( 1965 ),Ajay Patel,,"1,100","3,620 FTE 2022-2023 3",,Urban,Dark green and light green,ACCC,www .vcc .ca,,Latin : Carpe Diem,,,,"$55,928,520 1",,,Public,,Vancouver (2 campuses) in British Columbia,VCC,,,,,,,
Vancouver Institute of Media Arts,,1995 ( 1995 ),Colin Phillips,,,,,"700 - 333 Terminal Avenue, Vancouver, BC Canada, V6A 4C1",,"PTIB, EQA, StudentAid BC, EduCanada, NACC",vanarts.com,,,,,,,,,Private,,"Vancouver , British Columbia , Canada",VanArts,,,,,,,
Assiniboine Community College,,February 1961 ; 63 years ago ( 1961-02 ),Mark Frison,,500 (full and part-time),"3,200 (full-time)",,Brandon Winnipeg Dauphin,Purple & red,"CICan , CCAA , CBIE, Campus Manitoba",public .assiniboine .net,,,,,,,,,Public,,"1430 Victoria Avenue East Brandon , Manitoba , Canada 49°50′26″N 99°55′07″W / 49.84056°N 99.91861°W / 49.84056; -99.91861",,Caccey the Cougar,,Assiniboine Community College,,,,
Booth University College,,1982 ( 1982 ),Donald Burke,16,,282 (2019),,Urban,Blue yellow red,,boothuc .ca,,Education for a better world,,Salvation Army,,,,,Private university college,,"Winnipeg , Manitoba , Canada",,,,Catherine Booth Bible College,,,,
Manitoba Institute of Trades and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menno Simons College,,1982,Cheryl Pauls,13,6,"1,300",,Urban,,,www .mscollege .ca,,,,"Mennonite Brethren Church , Mennonite Church Canada","Canadian Mennonite University , University of Winnipeg",,,,Private,,"Winnipeg , Manitoba , Canada 49°53′22″N 97°09′13″W / 49.88944°N 97.15361°W / 49.88944; -97.15361",,,,,,,,
Providence University College and Theological Seminary,,1925,Kenton C. Anderson 1,,,,,100 acres (40 ha),,"Association of Theological Schools in the United States and Canada , CCCU",prov.ca,,Knowledge and Character for Leadership and Service,,Evangelical Christian,,,,,Private school,,"Otterburne , Manitoba , Canada 49°30′06″N 97°02′41″W / 49.50167°N 97.04472°W / 49.50167; -97.04472",,,,,,,,
Red River College,Industrial Vocational Education Centre Red River College,1938 ( 1938 ),Fred Meier,,,"21,000",,Urban,Red and black,,rrc .ca,,,,,,,,,Public,,"Winnipeg , Manitoba , Canada 49°55′06″N 97°12′39″W / 49.91833°N 97.21083°W / 49.91833; -97.21083",RRC Rebels,,,,,,CICan CCAA Campus Manitoba CBIE CUP,
Robertson College,,1911,,,,5000 (est),"180 Main Street Winnipeg , Manitoba R3C 1A6 , Winnipeg , Canada","Winnipeg , Edmonton and Calgary",,ECG Education Canada Group 1,www .robertsoncollege .com,,,,,,,,,Private college,,,,,,,,,,
St. Andrew's College,,,,5,,,,,,,umanitoba .ca /st-andrews-college /,,,,Ukrainian Orthodox Church of Canada,,,,,Theological school,,"Winnipeg , Manitoba , Canada",,,,,,,,
St. John's College,,1 November 1866,,40,20,,"92 Dysart Rd , Winnipeg , MB , R3T 2M5 , Canada",Urban,Black & gold,,www .umanitoba .ca /colleges /st _johns /anglican /index .html,,"""In Thy light we shall see light"" ( Psalm 36 , verse 9).",,Anglican Church of Canada,"AUCC , IAU , AUFC , ACU",,,,Public,,,,,,,,,,
St. Paul's College,,1926 ; 98 years ago ( 1926 ),,,,Approx. 1300,"70 Dysart Road , Winnipeg , Manitoba , R3T 2M6 , Canada 49°48′37.5″N 49.810417°N 97.13806°W49.810417; -97.13806",,,,umanitoba.ca/stpauls,,,,Roman Catholic,,,,,,,,,Pauley the Belltower,,,,,,
Steinbach Bible College,Steinbach Bible Academy Steinbach Bible Institute,1936,Dave Reimer,,,118 (2021) 1,,Urban,,,sbcollege .ca,,Your Mission Starts Here!,,Anabaptist,,,,,Private Bible college,,"Steinbach , Manitoba , Canada 49°32′8.46″N 96°41′23.43″W / 49.5356833°N 96.6898417°W / 49.5356833; -96.6898417",,,,,,Association for Biblical Higher Education,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
École technique et professionnelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Université de Saint-Boniface,,1818 ; 206 years ago ( 1818 ),Sophie Bouffard (since 2019),,,1333,,Francophone neighbourhood of St. Boniface,,,ustboniface .ca,,,,,,,,,Private public-interest corporation,Lise Pinkos (since 2022),"Winnipeg , Manitoba , Canada 49°53′19″N 97°07′11″W / 49.888631°N 97.119725°W / 49.888631; -97.119725",,,,,,University of Manitoba,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University College of the North,Keewatin Community College (1966-2004),"July 1, 2004 as University College of the North 1966 (as Keewatin Community College)",Doug Lauvstad,,Approx. 400,"Approx. 2,400","436 7th St E Box 3000 , The Pas , Manitoba , Canada  53.81972°N 101.23778°W53.81972; -101.23778",,,"AUCC , Canadian Colleges Athletic Association , Association of Canadian Community Colleges , IAU , CIS , UArctic , ACU , Campus Manitoba",www .ucn .ca,,,,,,,,,University college,,,,,,,,,,
